Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,-9999
Jayson Tatum,BOS,35:15,22,31,10,18,1,2,1,9,10,6,1,1,4,0,55,.710,.556,.500,tatumja01
Donovan Mitchell,CLE,30:08,15,25,8,17,2,2,1,3,4,10,3,0,2,1,40,.600,.471,1.000,mitchdo01
Lauri Markkanen,UTA,25:52,6,13,1,6,0,0,2,5,7,0,0,0,0,0,13,.462,.167,,markkla01
Ja Morant,MEM,19:59,3,4,0,0,0,0,1,2,3,3,1,0,0,0,6,.750,,,moranja01
Giannis Antetokounmpo,MIL,0:20,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1.000,,,antetgi01
Bam Adebayo,MIA,23:34,2,2,0,0,0,0,0,0,0,1,0,0,2,0,4,1.000,,,adebaba01
Damian Lillard,POR,23:24,9,21,8,20,0,0,1,2,3,4,3,0,0,0,26,.429,.400,,lillada01
DeMar DeRozan,CHI,16:01,4,6,0,0,0,0,0,6,6,5,0,0,0,0,8,.667,,,derozde01
Pascal Siakam,TOR,15:04,6,8,0,1,0,0,2,5,7,4,0,0,2,0,12,.750,.000,,siakapa01
Domantas Sabonis,SAC,11:47,3,4,0,0,0,0,0,4,4,1,0,0,2,0,6,.750,,,sabondo01
Shai Gilgeous-Alexander,OKC,10:05,4,5,1,1,0,0,2,0,2,7,0,0,0,0,9,.800,1.000,,gilgesh01
Jrue Holiday,MIL,9:01,1,3,1,3,0,0,0,0,0,2,0,0,0,0,3,.333,.333,,holidjr01
Kyrie Irving,DAL,28:32,14,21,4,8,0,0,2,4,6,15,0,0,3,2,32,.667,.500,,irvinky01
Joel Embiid,PHI,27:30,14,19,4,8,0,0,1,6,7,4,1,1,1,2,32,.737,.500,,embiijo01
Nikola Jokić,DEN,20:26,2,4,0,1,0,0,3,2,5,6,2,0,2,0,4,.500,.000,,jokicni01
Luka Dončić,DAL,18:57,2,5,0,3,0,0,0,2,2,5,0,0,1,0,4,.400,.000,,doncilu01
LeBron James,LAL,14:25,6,11,1,5,0,0,0,1,1,4,0,0,0,1,13,.545,.200,,jamesle01
Jaylen Brown,BOS,25:09,16,27,3,12,0,0,5,9,14,5,2,0,0,0,35,.593,.250,,brownja02
Julius Randle,NYK,19:35,5,10,1,5,0,0,0,2,2,2,1,0,1,0,11,.500,.200,,randlju01
Paul George,LAC,17:53,4,13,0,9,0,0,1,1,2,2,1,1,1,0,8,.308,.000,,georgpa01
Anthony Edwards,MIN,17:03,6,8,0,2,0,0,1,3,4,1,0,0,1,0,12,.750,.000,,edwaran01
Tyrese Haliburton,IND,13:52,7,9,4,6,0,0,0,1,1,3,0,0,0,0,18,.778,.667,,halibty01
De'Aaron Fox,SAC,9:16,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,.000,,,foxde01
Jaren Jackson Jr.,MEM,7:52,3,4,0,1,0,0,0,1,1,0,0,0,0,0,6,.750,.000,,jacksja02